Date,County,Subregions,COVID-19 Cases
3/13/20,Alameda,East Bay,11
3/14/20,Alameda,East Bay,11
3/15/20,Alameda,East Bay,11
3/16/20,Alameda,East Bay,21
3/17/20,Alameda,East Bay,27
3/18/20,Alameda,East Bay,31
3/19/20,Alameda,East Bay,35
3/20/20,Alameda,East Bay,45
3/21/20,Alameda,East Bay,71
3/22/20,Alameda,East Bay,106
3/23/20,Alameda,East Bay,122
3/24/20,Alameda,East Bay,135
3/25/20,Alameda,East Bay,135
3/26/20,Alameda,East Bay,178
3/27/20,Alameda,East Bay,220
3/28/20,Alameda,East Bay,256
3/29/20,Alameda,East Bay,270
3/30/20,Alameda,East Bay,283
3/31/20,Alameda,East Bay,313
4/1/20,Alameda,East Bay,359
4/2/20,Alameda,East Bay,396
4/3/20,Alameda,East Bay,443
3/2/20,San Mateo,Peninsula,0
3/3/20,San Mateo,Peninsula,0
3/4/20,San Mateo,Peninsula,2
3/5/20,San Mateo,Peninsula,2
3/6/20,San Mateo,Peninsula,2
3/7/20,San Mateo,Peninsula,2
3/8/20,San Mateo,Peninsula,2
3/9/20,San Mateo,Peninsula,9
3/10/20,San Mateo,Peninsula,9
3/11/20,San Mateo,Peninsula,15
3/12/20,San Mateo,Peninsula,15
3/13/20,San Mateo,Peninsula,20
3/14/20,San Mateo,Peninsula,20
3/15/20,San Mateo,Peninsula,20
3/16/20,San Mateo,Peninsula,42
3/17/20,San Mateo,Peninsula,64
3/18/20,San Mateo,Peninsula,80
3/19/20,San Mateo,Peninsula,89
3/20/20,San Mateo,Peninsula,100
3/21/20,San Mateo,Peninsula,110
3/22/20,San Mateo,Peninsula,117
3/23/20,San Mateo,Peninsula,142
3/24/20,San Mateo,Peninsula,161
3/25/20,San Mateo,Peninsula,165
3/26/20,San Mateo,Peninsula,195
3/27/20,San Mateo,Peninsula,239
3/28/20,San Mateo,Peninsula,274
3/29/20,San Mateo,Peninsula,277
3/30/20,San Mateo,Peninsula,309
3/31/20,San Mateo,Peninsula,309
4/1/20,San Mateo,Peninsula,388
4/2/20,San Mateo,Peninsula,453
4/3/20,San Mateo,Peninsula,486
3/2/20,San Francisco,San Francisco,0
3/3/20,San Francisco,San Francisco,0
3/4/20,San Francisco,San Francisco,0
3/5/20,San Francisco,San Francisco,2
3/6/20,San Francisco,San Francisco,2
3/7/20,San Francisco,San Francisco,8
3/8/20,San Francisco,San Francisco,8
3/9/20,San Francisco,San Francisco,13
3/10/20,San Francisco,San Francisco,14
3/11/20,San Francisco,San Francisco,14
3/12/20,San Francisco,San Francisco,18
3/13/20,San Francisco,San Francisco,23
3/14/20,San Francisco,San Francisco,28
3/15/20,San Francisco,San Francisco,37
3/16/20,San Francisco,San Francisco,40
3/17/20,San Francisco,San Francisco,43
3/18/20,San Francisco,San Francisco,51
3/19/20,San Francisco,San Francisco,70
3/20/20,San Francisco,San Francisco,76
3/21/20,San Francisco,San Francisco,84
3/22/20,San Francisco,San Francisco,108
3/23/20,San Francisco,San Francisco,131
3/24/20,San Francisco,San Francisco,152
3/25/20,San Francisco,San Francisco,178
3/26/20,San Francisco,San Francisco,223
3/27/20,San Francisco,San Francisco,279
3/28/20,San Francisco,San Francisco,308
3/29/20,San Francisco,San Francisco,340
3/30/20,San Francisco,San Francisco,374
3/31/20,San Francisco,San Francisco,397
4/1/20,San Francisco,San Francisco,434
4/2/20,San Francisco,San Francisco,450
4/3/20,San Francisco,San Francisco,497
3/2/20,Santa Clara,South Bay,9
3/3/20,Santa Clara,South Bay,11
3/4/20,Santa Clara,South Bay,14
3/5/20,Santa Clara,South Bay,20
3/6/20,Santa Clara,South Bay,24
3/7/20,Santa Clara,South Bay,32
3/8/20,Santa Clara,South Bay,37
3/9/20,Santa Clara,South Bay,43
3/10/20,Santa Clara,South Bay,45
3/11/20,Santa Clara,South Bay,48
3/12/20,Santa Clara,South Bay,48
3/13/20,Santa Clara,South Bay,79
3/14/20,Santa Clara,South Bay,91
3/15/20,Santa Clara,South Bay,114
3/16/20,Santa Clara,South Bay,138
3/17/20,Santa Clara,South Bay,155
3/18/20,Santa Clara,South Bay,175
3/19/20,Santa Clara,South Bay,189
3/20/20,Santa Clara,South Bay,196
3/21/20,Santa Clara,South Bay,263
3/22/20,Santa Clara,South Bay,302
3/23/20,Santa Clara,South Bay,321
3/24/20,Santa Clara,South Bay,375
3/25/20,Santa Clara,South Bay,459
3/26/20,Santa Clara,South Bay,542
3/27/20,Santa Clara,South Bay,574
3/28/20,Santa Clara,South Bay,591
3/29/20,Santa Clara,South Bay,646
3/30/20,Santa Clara,South Bay,848
3/31/20,Santa Clara,South Bay,890
4/1/20,Santa Clara,South Bay,956
4/2/20,Santa Clara,South Bay,1019
4/3/20,Santa Clara,South Bay,1094
